VslID,Berth,Cargo Type,Flag/Country Code,Foreign Coastal Indicator,Commodity Code,GRT,NRT,Dead Weight,ATA - Outer Roads,Actual Time of Arriv,Actual Date of Berthing,Actual Time of Berth,Actual Date of Unberthing,Actual Time of Unberthing,ATD - Outer Roads,Actual Time of Depar,PBD (Port),PBD (Non Port),PBD Total,SWB (TOTAL),TRT (TOTAL),NOR Date,NOR time,TRT NOR,PILOT BOARDING DATE,PILOT BOARDING TIME,PILOT UNBOARDING DATE,PILOT UNBOARDING TIME,TRT BOARDING & DEBOARDING,MT,Teus,MnthYear,Idle Hrs
1010304ZMA-N,SPM,Liquid Bulk,COOK ISLANDS,F,SPM CRUDE OTHERS,62775,34934,112969,07.04.2024,15:24:00,07.04.2024,17:18:00,09.04.2024,02:12:00,09.04.2024,05:00:00,00:00:00,00:00:00,00:00:00,32:54:00,37:36:00,07.04.2024,16:00:00,37:00:00,07.04.2024,16:00:00,09.04.2024,4:00:00,36:00:00,99769.307,,Apr-24,6.2
2010304MAKKA,NCB,Liquid Bulk,INDIA,C,MOTOR SPIRIT,1119,336,809,20.03.2024,11:25:00,20.03.2024,12:06:00,01.04.2024,20:54:00,01.04.2024,23:00:00,00:00:00,00:00:00,00:00:00,14:20:00,17:35:00,01.04.2024,6:00:00,17:35:00,20.03.2024,11:30:00,01.04.2024,22:00:00,17:35:00,570.428,,Apr-24,3.2
1110304MUHB-,V3,Containerised,SINGAPORE,F,CONTAINER,28592,14769,39396,04.04.2024,15:30:00,04.04.2024,17:30:00,05.04.2024,10:54:00,05.04.2024,12:55:00,00:00:00,00:00:00,00:00:00,17:24:00,21:25:00,04.04.2024,15:30:00,21:25:00,04.04.2024,16:00:00,05.04.2024,11:55:00,19:55:00,15697,1068,Apr-24,
6110304ENUTP,Q4,Liquid Bulk,MARSHALL ISLANDS,F,METHANOL,11707,6115,19802,31.03.2024,08:45:00,31.03.2024,20:33:00,01.04.2024,08:12:00,01.04.2024,11:00:00,10:25:00,00:00:00,10:25:00,11:39:00,26:15:00,31.03.2024,19:10:00,15:50:00,31.03.2024,19:10:00,01.04.2024,10:00:00,14:50:00,1647.646,,Apr-24,5.217
6210304LABOL,SCB,Liquid Bulk,LIBERIA,F,LIQUID AMMONIA,16823,5046,16686,27.03.2024,02:48:00,27.03.2024,16:00:00,07.04.2024,16:12:00,07.04.2024,18:45:00,12:00:00,00:00:00,12:00:00,42:03:00,56:03:00,27.03.2024,14:30:00,45:03:00,27.03.2024,14:48:00,07.04.2024,17:45:00,44:03:00,14954.16,,Apr-24,14.6
9210304ANIRA,Q7,Liquid Bulk,BAHAMAS,F,OIL CARBON BLACK FEED STOCK,40690,21230,72808,31.03.2024,07:54:00,31.03.2024,16:24:00,01.04.2024,20:48:00,01.04.2024,22:54:00,07:06:00,00:00:00,07:06:00,28:24:00,39:00:00,31.03.2024,15:00:00,31:54:00,31.03.2024,15:00:00,01.04.2024,21:54:00,30:54:00,12003.658,,Apr-24,9.167
4410304IVED-,MULT,Liquid Bulk,INDIA,F,LPG,46506,16040,53503,01.04.2024,13:24:00,01.04.2024,19:00:00,03.04.2024,07:06:00,03.04.2024,09:30:00,00:00:00,00:00:00,00:00:00,34:36:00,44:06:00,01.04.2024,17:54:00,39:36:00,01.04.2024,17:54:00,03.04.2024,8:30:00,38:36:00,7987.554,,Apr-24,9.7
4510304IRAVA,V3,Containerised,INDIA,C,CONTAINER,32901,13452,35481,31.03.2024,22:35:00,31.03.2024,23:45:00,01.04.2024,17:00:00,01.04.2024,18:50:00,00:00:00,00:00:00,00:00:00,17:15:00,20:15:00,31.03.2024,22:40:00,20:15:00,31.03.2024,22:40:00,01.04.2024,17:50:00,19:10:00,28251,1552,Apr-24,
5510304SSERP,V2,Containerised,INDIA,C,CONTAINER,18233,10564,26207,04.04.2024,04:00:00,04.04.2024,05:30:00,04.04.2024,23:12:00,05.04.2024,02:00:00,00:00:00,00:00:00,00:00:00,17:42:00,22:00:00,04.04.2024,4:00:00,22:00:00,04.04.2024,4:12:00,05.04.2024,1:00:00,20:48:00,18650,1176,Apr-24,
651030481-NI,NCB,Break Bulk,VIET NAM,F,ALUMINA IN JUMBO BAGS,4963,3084,8123,03.04.2024,10:45:00,03.04.2024,11:48:00,06.04.2024,18:40:00,06.04.2024,21:30:00,00:00:00,00:00:00,00:00:00,78:52:00,82:45:00,03.04.2024,10:48:00,82:42:00,03.04.2024,10:48:00,06.04.2024,20:30:00,81:42:00,5500,,Apr-24,23.868
